column,country,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00
Bienes - current_prices_yoy,Argentina,,,,,,,,,,,,,20.084100000000007,20.621344140693346,20.9705531245314,20.88659261566539,20.650579252948376,22.210663628407712,26.199606797945908,29.37161473875991,31.753073686971263,40.51733059223255,46.4120001780645,49.544527073742415,50.53891397778722,52.006970508065486,54.85282162318794,59.17194079527977,61.621672053888666,62.255144811351904,59.77705005796092,57.13437371007968,59.79114729777986,57.52460216621602,54.01137369596005,56.21404262900678,58.381962380506415,58.3060474206256,55.96344819878942,53.33197691917753,51.188202655929096,49.57214345557828,49.828054266037626,50.300679414949954,47.97063547109841,43.15894807022976,44.69654115151187,42.19531403393275,42.95529741474608,45.191778657849,47.82170941794603,50.48120089560286,53.98644305480303,56.23659389416156,56.97307149873574,57.88046878625859,56.70704635002877,56.44990475678193,54.94245539059597,53.70187852354835,53.6619964006718,53.13243349716732,55.33673191244137
Bienes y servicios varios,Argentina,100.0,101.9345,103.7951,105.6633,107.5442,108.9336,110.3729,111.8348,113.6021,115.4941,117.0803,118.5168,119.8176,122.7189,124.8704,127.1891,129.3332,131.8763,136.0669,141.4245,148.3437,160.1018,170.0438,177.5239,183.608,190.2864,196.1795,202.2281,208.235,214.0404,218.5697,224.4509,234.3934,253.668,263.4181,276.2862,286.2711,295.0698,302.2693,308.4361,308.9516,314.8969,315.9472,323.2643,334.0208,340.0843,347.2283,356.3987,362.5783,369.9824,381.9169,390.3459,404.5705,416.3379,424.5201,438.0619,452.5377,462.336,477.8239,487.5849,503.0842,524.7001,547.448
Bienes y servicios varios - constant_prices,Argentina,626.2656271251417,628.4147068460072,626.9251980647012,623.4082809089608,618.0900757448992,617.2198280739759,618.0078216728691,615.5307646022052,616.6052942379443,615.1978913818168,614.341410536659,613.4436259390114,601.2843754477663,604.9548714679656,601.1336934047812,598.5298691120289,592.6189213701078,591.8429821418167,588.8619360222764,593.6452248289024,599.316019303203,607.3420990589199,612.008370726987,619.1183747319528,624.1099442560869,628.5819090091915,624.3245280647378,614.6835546559596,612.1294595880695,610.2764937966982,606.8067471212461,609.720644864927,612.239842450734,625.6708684973939,628.9636417881824,632.4916741113394,631.9669552472541,636.7456577166083,639.49197396298,631.6928183313547,623.3976241843619,626.0038974938681,614.5712883940737,617.0797822690091,620.8499354944207,614.9029789143759,604.8361974658643,599.8165185223451,586.7468673905585,575.7006199913882,573.6206179799883,559.4280212097046,556.9780451293688,554.3311358877373,548.2301528004847,549.240960667518,553.5518868536094,550.1335950357817,549.3358906909074,546.8855996466718,543.612663152,545.6881040000009,547.448
Bienes y servicios varios - current_prices_mom,Argentina,,1.9344999999999943,1.825289769410765,1.7998922877862311,1.7800882614871891,1.2919339211226566,1.3212635954379603,1.3245099114003622,1.5802773376444534,1.6654621701535532,1.3734034898752243,1.2269357013946935,1.097565914705756,2.421430574473193,1.7531936808429682,1.8568852185946396,1.685757663195986,1.9663164601200436,3.177674836191202,3.9374748744918753,4.89250448118963,7.926255041501573,6.20979901537646,4.398925453324365,3.4272005065233424,3.637314278244941,3.096963314246315,3.083196766226859,2.970358718694377,2.7879078925252765,2.116095839850796,2.6907663779563107,4.429699323994707,8.22318375858706,3.8436460255136575,4.885047762473427,3.6139698616868943,3.0735551021392027,2.4399311620504798,2.040167493026912,0.1671334840506633,1.9243467261538691,0.3335377388599125,2.3159249393569503,3.327463007823628,1.8153061126732208,2.100655631559589,2.6410289714288826,1.733900825115242,2.0420692578678734,3.225693978956845,2.207024617135289,3.64410129579944,2.9086154329097225,1.965278683492433,3.189907851241891,3.304510161691754,2.165189773139353,3.349922999723143,2.0428027982694053,3.178789991240505,4.296676381408915,4.335409884617891
Bienes y servicios varios - current_prices_yoy,Argentina,,,,,,,,,,,,,19.81759999999999,20.38995629546425,20.30471573320898,20.372068636887164,20.2605068427679,21.06117855280647,23.279265109460745,26.458401141683986,30.58182903309008,38.62335824946901,45.23690151118507,49.78796255045697,53.23959084475069,55.05875623070284,57.10648800676541,58.99798017282929,61.00660928516422,62.30391662489774,60.63399695296947,58.70722541002442,58.00697973692175,58.44169147379981,54.91191093118359,55.63324149593378,55.914284780619575,55.06615291476427,54.077923534314245,52.51891304917567,48.36679712824452,47.12030999755188,44.55214972615143,44.02450602782169,42.504353791531656,34.06669347335887,31.816416563630213,28.996200316917744,26.65557228794664,25.388094613545675,26.349880718948302,26.55648933441965,30.949475581288468,32.21403576853248,34.36425453366891,35.51199436498247,35.48189214563882,35.947469495063444,37.610874459253466,36.8088323554491,38.751877870242105,41.8175837553354,43.342177316583786
Comunicación,Argentina,100.0,103.0516,107.2514,110.6933,118.2686,118.6553,120.1049,121.2281,123.052,124.3454,130.9342,131.8833,134.1367,136.6524,149.113,153.2069,154.7928,160.8721,161.4822,162.4498,182.6004,186.4637,187.8155,193.5208,208.333,223.7092,226.1415,236.0623,244.3102,249.1176,266.8665,267.4442,270.5675,288.7594,290.1029,311.5568,341.3832,341.8435,349.775,378.653,363.1467,364.3572,365.8524,368.496,369.5853,370.0946,369.6031,367.4745,367.3696,422.9513,430.6911,430.982,433.2713,437.5563,468.3691,470.0952,467.3059,480.2655,485.73,489.7423,498.8013,536.1267,544.0338
Comunicación - constant_prices,Argentina,626.2656271251417,635.301502474746,647.8013431049876,653.0850338872614,679.7265490118778,672.3031632670364,672.4999308819265,667.2308179946904,667.8971134034277,662.3457638358025,687.0353177732635,682.6287054054987,673.1423587530078,673.6414283194277,717.8390429170335,720.9651283330073,709.2776036768504,721.9722073444324,698.8527035240492,681.9012833307542,737.7148126356062,707.3452950328648,675.9708860439158,674.907903515117,708.1537679006544,738.988997631565,719.6760378293957,717.5244868752736,718.176438628728,710.2893447734557,740.8913165028455,726.5119012193069,706.7272524409346,712.2236331929388,692.6789635082513,713.2353407907154,753.6314405350886,737.6809292026747,739.9967684210778,775.5006004148752,732.7516349175445,724.3292241998977,711.645429458036,703.4226527550392,686.9542545394962,669.1642984404879,643.810811433272,618.4570124294489,594.5004485224915,658.1213745198788,646.8770953589144,617.6660429557501,596.4908506296437,582.582274623174,604.8572570769335,589.4042354589362,571.6166027334831,571.4679066450745,558.4252319427607,549.3053853961438,538.984732728,557.5717680000009,544.0338
Comunicación - current_prices_mom,Argentina,,3.0515999999999988,4.075434054396054,3.209188877720925,6.843503626687442,0.3269675974857167,1.221690055142921,0.9351824946359332,1.5045191667608426,1.0511003478204328,5.298788696646595,0.7248679107521028,1.708631797960769,1.8754747954884852,9.118464073810628,2.745501733584588,1.035136145956872,3.927379051222024,0.3792453756742198,0.5991991687009479,12.404201174762909,2.11571278047582,0.7249668434124112,3.037715204549163,7.654060958821995,7.380587808940509,1.087259710374,4.386987793041075,3.4939505376335056,1.9677442857481964,7.124707367122984,0.2164752788379464,1.1678323927009735,6.72360871131974,0.4652662389518669,7.395272505031847,9.573342645706973,0.1348338172470153,2.320213782037684,8.256164677292555,-4.095121390824852,0.3333363624121954,0.4103665304267423,0.7225864856975184,0.2956070079458195,0.137803099852718,-0.1328038831152955,-0.5759150829633186,-0.0285461984437018,15.129640558173564,1.82995063497855,0.0675426076833352,0.5311822767540164,0.9889877312436955,7.04201950697545,0.3685341325890157,-0.5933479005954423,2.7732583731555627,1.137808149867103,0.8260350400428162,1.849748326824141,7.483019791648493,1.4748565963978333
Comunicación - current_prices_yoy,Argentina,,,,,,,,,,,,,34.1367,32.60580136552951,39.03128537249862,38.4066605657253,30.882415112717982,35.57936307944103,34.45096744595766,34.00341999915861,48.39287455709782,49.95625089468527,43.44266051192125,46.73639497950084,55.31394465496766,63.706747923929626,51.65780314258315,54.080723518327176,57.83046756696695,54.854446482640576,65.2606293449061,64.63190474842075,48.17464802924856,54.860919310300105,54.46163921508076,60.993960339147016,63.86419818271709,52.80708169355575,54.67085873225391,60.403842544955296,48.64164492518117,46.259116176456416,37.091916744889296,37.78425555686007,36.59633917599121,28.167117676515453,27.40413832471169,17.947834873127455,7.612091046073743,23.726588336475608,23.133757415481384,13.819776946175,19.31026772376012,20.089928235259254,28.02132772670072,27.57131692067214,26.44060789214289,29.76830788668625,31.419352272748814,33.272458361056344,35.776422436695924,26.75849441767884,26.316471364279412
Educación,Argentina,100.0,100.7952,103.9808,115.3409,118.6783,120.69,121.8757,122.8868,125.3185,129.9791,131.0253,131.4832,131.4716,132.3079,134.8324,153.4357,154.6926,156.0746,157.9789,160.7826,163.8623,166.5346,170.0009,171.9664,173.7237,174.7196,177.646,209.4616,212.6984,219.6863,223.5381,228.213,233.9485,236.3192,240.0651,250.6401,255.5638,256.9216,260.6158,306.0975,301.6002,300.3424,301.4521,301.7724,304.0824,304.9813,305.3871,306.746,306.8977,308.6755,309.01,397.0482,406.8828,416.1535,420.9305,431.6135,449.9,463.9288,470.3893,474.3662,479.1164,482.7713,495.5553
Educación - constant_prices,Argentina,626.2656271251417,621.3910507186936,628.0468310635674,680.5056456451044,682.0812227556286,683.8318117665087,682.4151206669037,676.3601845178626,680.1991386247071,692.3545726033303,687.5133358728061,680.5577855465574,659.7680048266577,652.2247888360833,649.091366750093,722.0418214934498,708.8184762762967,700.4416767879536,683.6913378982662,674.9030240557717,662.0119448946415,631.7447619573147,611.8539683959158,599.7364753506704,590.5117899163499,577.1593750752672,565.343244898618,636.670180118019,625.2501099586863,626.3742027167282,620.6003271206566,619.9403857438735,611.0777555237713,582.8801390266385,573.2036620195962,573.7810156585219,564.1780695201793,554.4237776065303,551.3683076248271,626.9032466017495,608.5640861983832,597.0700663698573,586.3758421853371,576.0538571280415,565.2029407300043,551.4336000902687,531.9531049719382,516.2513718222183,496.64104025080206,480.3057570472319,464.1179983446561,569.0334876090028,560.1614219048693,554.0856173763126,543.5945019644167,541.1559721972392,550.3254069118195,552.0288677166307,540.7886149834122,532.0592244327358,517.714017184,502.0821520000008,495.5553
Educación - current_prices_mom,Argentina,,0.7951999999999959,3.1604679587917017,10.92519003508341,2.8935095876657657,1.6950866333609538,0.982434335901905,0.8296157478480115,1.978813021414827,3.719003977864399,0.8048986337034103,0.3494744908044689,-0.0088224198985242,0.6361069615034687,1.9080493303876844,13.79735137845206,0.8191705059513499,0.8933846867917428,1.22012165977039,1.7747306760586223,1.915443586557264,1.6308205121007058,2.0814293245968063,1.1561703496863809,1.021885670689171,0.5732666297114442,1.674912259414496,17.909550454274246,1.545295175822203,3.28535616628991,1.7533182542561754,2.0913213452203427,2.513222296714046,1.0133426801197665,1.5851018453007626,4.40505512879632,1.9644502216524808,0.5312959034104336,1.4378705410521997,17.451628028692067,-1.4692377428760617,-0.4170421637651356,0.3694783020978587,0.1062523697794803,0.7654775585838935,0.2956106634254274,0.1330573382695821,0.4449762285309466,0.0494545976149618,0.5792809786453246,0.1083662292601816,28.49040484126728,2.4769284938201297,2.278469377422687,1.1478937459374894,2.5379486637342685,4.236776653186247,3.11820404534342,1.3925628242954513,0.8454486528498784,1.0013782600868382,0.7628417645482388,2.648044736710742
Educación - current_prices_yoy,Argentina,,,,,,,,,,,,,31.4716,31.26408797244313,29.67047762663877,33.02800654407933,30.346154267460857,29.31858480404341,29.622968319361465,30.837974461048724,30.75667199974465,28.12413688046773,29.74662145402453,30.78963700305437,32.1378153152468,32.055304331789735,31.75319878604843,36.51425320182984,37.49746270991632,40.75724044783711,41.498706472826406,41.93886651913825,42.77140013291647,41.90396470162956,41.2140171022624,45.749460359698176,47.10934662340256,47.04795569586926,46.70513267959875,46.1353775584642,41.79711742072343,36.714214768968304,34.85490840263918,32.232782532108175,29.9783499359902,29.054812304713277,27.210119255152023,22.385045329937235,20.08653025193709,20.14384932991231,18.56917347298208,29.712983608164052,34.908000724137445,38.55969053986384,39.63429015754079,43.026168065734296,47.95331791645947,52.11712980435197,54.03050750997669,54.64462454278134,56.11599565588144,56.40091293283725,60.36869356978738
Equipamiento y mantenimiento del hogar,Argentina,100.0,100.8773,101.3278,102.1787,103.3147,106.1577,107.4904,110.0984,111.1513,112.2879,113.0973,114.1215,117.436,118.6538,120.7253,126.1821,127.7561,130.576,135.829,141.5414,145.9741,160.1563,167.0385,172.9721,176.1826,180.8936,185.932,192.9944,201.8547,208.3447,215.4878,220.9243,234.3379,251.7058,272.1918,273.7052,288.4718,284.7446,290.661,299.0795,302.7645,311.3316,323.992,336.5455,348.1836,357.1864,373.2176,387.9375,397.2227,409.0026,427.6367,441.1744,460.1121,470.991,486.2222,499.4892,515.857,533.8161,548.5192,563.3426,582.338,601.6662,628.3237
Equipamiento y mantenimiento del hogar - constant_prices,Argentina,626.2656271251417,621.8971879679277,612.0226396473478,602.849312036558,593.7818194617798,601.4915264227816,601.8679218788794,605.9737428195824,603.3029322647208,598.1195516281117,593.4418925292102,590.6935283234013,589.3327183576026,584.915561728354,581.1789301259564,593.7911015745921,585.3924760266632,586.0074117650394,587.8323670780313,594.1359257101677,589.7427159587342,607.5488434203119,601.1919295715563,603.2438754780219,598.8699439288728,597.5542362225839,591.7127332475251,586.6172100746342,593.3738729143126,594.0367940684326,598.2505853387438,600.14063949992,612.0948754369188,620.8311118936222,649.9126134190498,626.5830872514769,636.8251811681124,614.464399976726,614.9330303939358,612.5300257010525,610.9133922186072,618.9162072189403,630.2197989707544,642.4322879563714,647.1745639798935,645.8251127373472,650.1069008814546,652.8960982581087,642.8106008589581,636.4168955012177,642.2895350400123,632.273380097956,633.4429672909138,627.0987484514412,627.9129563028648,626.2583622338533,631.0051421056022,635.187764268801,630.611577388791,631.8570480905278,629.2511492799999,625.732848000001,628.3237
Equipamiento y mantenimiento del hogar - current_prices_mom,Argentina,,0.8773000000000142,0.4465821349302512,0.8397498021273542,1.1117776992660922,2.7517865318294588,1.255396452636015,2.4262631825725967,0.9563263408006062,1.0225701363816508,0.7208256633172594,0.905591910682202,2.9043607032855467,1.0369903607071018,1.7458353630477983,4.520013617692409,1.2474035540698702,2.207252726092923,4.02294449209657,4.205582018567466,3.1317338955245466,9.715559130010051,4.297177195027624,3.552234963795775,1.856079679902134,2.6739303427239625,2.7852837247973383,3.7983779015984487,4.590962224810657,3.215183991257065,3.4285009409886547,2.5228806456792485,6.071581985322583,7.411477187428939,8.138866883480622,0.556004993537651,5.395074700809488,-1.2920500374733246,2.077791817649932,2.896329400917219,1.2321138693892395,2.829625005573644,4.066532276196844,3.874632706980408,3.4581059618981724,2.585647342379138,4.488188800021509,3.944053013577076,2.3934783309166985,2.9655656637951555,4.555985707670329,3.1657011664340207,4.292565479773991,2.3644020663659893,3.23386221817401,2.728587876078059,3.27690768889497,3.4814105459458844,2.7543380576194654,2.7024395864356343,3.3719090301354893,3.3190689942954155,4.430612854768978
